"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2023","39.3420","38.9440","39.3420","38.9440","","1.02%"
"11/14/2023","38.9440","38.7095","38.9440","38.7095","","0.72%"
"11/13/2023","38.6660","38.5692","38.8373","38.5260","","0.56%"
"11/10/2023","38.4516","38.5097","39.2322","38.4282","","0.14%"
"11/09/2023","38.3976","38.5826","39.3223","38.4403","","-0.44%"
"11/08/2023","38.5666","38.6234","38.6738","38.4026","","0.13%"
"11/07/2023","38.5164","38.6133","39.3296","38.4035","","-0.17%"
"11/06/2023","38.5812","38.8390","38.9272","38.6097","","-0.39%"
"11/03/2023","38.7317","38.5615","39.1237","38.4311","","0.75%"
"11/02/2023","38.4444","38.4184","38.9694","38.3965","","0.09%"
"11/01/2023","38.4094","38.3836","38.8150","38.2029","","0.32%"
"10/31/2023","38.2851","38.6423","39.1202","38.3165","","-0.62%"
"10/30/2023","38.5252","38.5078","38.7575","38.3493","","0.13%"
"10/27/2023","38.4741","38.5367","38.7967","38.3545","","0.09%"
"10/26/2023","38.4384","38.6862","38.7027","38.3622","","-0.30%"
"10/25/2023","38.5550","38.7207","38.9373","38.5466","","-0.37%"
"10/24/2023","38.6991","39.0486","39.2438","38.6878","","-0.61%"
"10/23/2023","38.9382","38.7105","39.0834","38.5923","","0.65%"
"10/20/2023","38.6856","38.7159","38.8988","38.6022","","0.06%"
"10/19/2023","38.6630","38.5582","38.8783","38.4682","","0.55%"
"10/18/2023","38.4528","38.4665","38.9129","38.4120","","0.01%"
"10/17/2023","38.4507","38.4138","38.8591","38.3085","","0.16%"
"10/16/2023","38.3889","38.2192","38.7196","38.2192","","0.47%"
"10/13/2023","38.2107","38.3675","38.7513","38.1755","","-0.35%"
"10/12/2023","38.3462","38.7119","39.0820","38.3601","","-0.86%"
"10/11/2023","38.6777","38.6923","39.0356","38.5570","","0.02%"
"10/10/2023","38.6691","38.6541","39.1335","38.5545","","0.17%"
"10/09/2023","38.6045","38.7135","38.8476","38.4513","","-0.36%"
"10/06/2023","38.7448","38.6657","38.8698","38.4060","","0.36%"
"10/05/2023","38.6057","38.5155","38.7284","38.4315","","0.43%"
"10/04/2023","38.4410","38.3726","38.6604","38.2744","","0.36%"
"10/03/2023","38.3019","38.6950","38.7354","38.2912","","-0.99%"
"10/02/2023","38.6868","39.0191","39.1197","38.6031","","-0.82%"
"09/29/2023","39.0086","38.8247","39.2120","38.7935","","1.05%"
"09/28/2023","38.6037","38.7873","39.0745","38.5492","","-0.44%"
